"keep","Species","ID","site","acc","Species.no.ssp","code","new.code","family","group","nat.inv","appendage type","appendage","disp.cat.all","disp.cat.nat","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","width","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"discard","Chaenactis glabriuscula","MCL-EE-12","MCL","MCL-EE","Chaenactis glabriuscula","CHAGLA","CHAGLA","Asteraceae","forb","native","flat appendage","pappus","wind","wind",NA,NA,NA,0.48241295264624,0.0280222841225627,13.8875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,1,0.5647,NA,NA,NA
"keep","Chaenactis stevioides","SD-1","SD","SD","Chaenactis stevioides","CHASTE","CHASTE","Asteraceae","forb","native","elongated appendage","pappus","wind","wind",5.5125,3.9764,127.5324409,0.495271721444842,0.0320859095346567,17.5,0.169049198,5.1316277,0.6558557,87.2677906955818,1,0,0.0512,0.0512,0.0780659526173212,0.214039450353681,5,5,0,NA,NA,1,0.1157,NA,NA,NA
"keep","Chenopodium album","GRIN-PI-666270","GRIN","GRIN","Chenopodium album","CHEALB","CHEALB","Chenopodiaceae","forb","native","no appendage","none","human","animal",3.9361,3.9361,229.14907468,0.444805458768873,0.027938443670151,55.3474531,0.02733427,1.19870913,0.75334771,30.2154285466974,2.36897770467574,0.0186,0.0104,0.029,0.038494840582976,1.16518281129516,7,6,0,0,1,1,0.1496,0.09,0.19,0.71
"combine","Chenopodium arizonicum","GRIN-Ames-33026","GRIN","GRIN","Chenopodium neomexicanum","CHEARI","CHENEO","Chenopodiaceae","forb","native","no appendage","none","human","animal",3.2471,3.2471,200.92022384,NA,NA,45,0.044963878,1.14774725,0.62926691,18.4823635030159,2.50349543376215,0.0226,0.0124,0.035,0.0556202772524619,1.07174860318029,7,6,0,0,1,1,0.1597,NA,NA,NA
"combine","Chenopodium arizonicum","GRIN-Ames-33027","GRIN","GRIN","Chenopodium neomexicanum","CHEARI","CHENEO","Chenopodiaceae","forb","native","no appendage","none","human","animal",NA,NA,NA,0.44595036814835,0.0252249795473139,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,1,0.1758,NA,NA,NA
"combine","Chenopodium berlandieri","GRIN-PI-666296","GRIN","GRIN","Chenopodium berlandieri","CHEBER","CHEBER","Chenopodiaceae","forb","native","no appendage","none","human","animal",10.3745,10.3745,247.51390164,0.458351741716228,0.0268620787312376,150,0.031468776,1.52663695,0.91731163,19.7233190189149,2.55531966499382,0.0264,0.021,0.0474,0.0516727341612359,1.94625727531493,7,6,0,0,1,1,0.2208,NA,NA,NA
"combine","Chenopodium berlandieri var. sinuatum","GRIN-Ames-33009","GRIN","GRIN","Chenopodium berlandieri","CHEBERS","CHEBER","Chenopodiaceae","forb","native","no appendage","none","human","animal",7.2604,7.2604,256.0278893,0.473371863546659,0.0211361714124612,35.48,0.030061864,1.4158506,0.84640828,17.7921129691792,2.23463178597608,0.0266,0.0202,0.0468,0.0552924647665309,1.614759458355,7,6,0,0,1,1,0.195,NA,NA,NA
"combine","Chenopodium berlandieri var. zschackei","GRIN-PI-666293","GRIN","GRIN","Chenopodium berlandieri","CHEBERZ","CHEBER","Chenopodiaceae","forb","native","no appendage","none","human","animal",12.79,12.79,217.6442402,0.444423435419441,0.0245006657789614,35.485,0.03707948,1.6152662,0.93946892,14.3802943163957,2.52404689892365,0.0332,0.0248,0.058,0.0617370077554029,2.11061813334978,7,6,0,0,1,1,0.2208,NA,NA,NA
"keep","Chenopodium hians","GRIN-PI-666312","GRIN","GRIN","Chenopodium hians","CHEHIA","CHEHIA","Chenopodiaceae","forb","native","no appendage","none","human","animal",3.4766,3.4766,223.86025276,0.454917193616381,0.0343661547726588,55,0.049922919,1.1898462,0.5893838,20.7780618834253,2.37299079826202,0.0164,0.0116,0.028,0.0475072440063673,1.18260526777138,7,6,0,0,1,0,0.154,NA,NA,NA
"combine","Chenopodium incanum var. elatum","GRIN-PI-666314","GRIN","GRIN","Chenopodium incanum","CHEINCE","CHEINC","Chenopodiaceae","forb","native","no appendage","none","human","animal",4.9621,4.9621,239.2249189,0.451445702864757,0.0238640906062625,50,0.027779008,1.3383003,0.82868246,13.5825335776863,2.45400391097485,0.0346,0.012,0.0466,0.0562338437813683,1.20899945070819,7,6,0,0,1,1,0.2106,NA,NA,NA
"combine","Chenopodium incanum var. occidentale","GRIN-PI-691474","GRIN","GRIN","Chenopodium incanum","CHEINCO","CHEINC","Chenopodiaceae","forb","native","no appendage","none","human","animal",5.346,5.346,225.20680682,0.443513659724101,0.0296321341628347,34,0.015349819,1.2208664,0.85527126,25.5591308242805,2.74015730866418,0.0304,0.0064,0.0368,0.043027284700295,1.49052751363511,7,6,0,0,1,0,0.1124,NA,NA,NA
"keep","Chenopodium murale","DW-05","DW","DW","Chenopodium murale","CHEMUR","CHEMUR","Chenopodiaceae","forb","invasive","no appendage","none","human","animal",5.7997,5.7997,221.94241566,0.515393258426966,0.0359636992221262,48.59375,0.024214435,1.3936932,0.90844869,20.1676950902373,2.65439979287248,0.0336,0.0132,0.0468,0.0515163932923939,1.24152226020492,7,6,0,0,1,1,0.0572,0.09,0.15,0.76
"combine","Chenopodium neomexicanum","GRIN-PI-666319","GRIN","GRIN","Chenopodium neomexicanum","CHENEO","CHENEO","Chenopodiaceae","forb","native","no appendage","none","human","animal",6.9883,6.9883,230.68720352,0.558184553660983,0.0313014042126379,37.5,0.034266511,1.4269291,0.82425101,21.5573985935395,2.61907194124646,0.042,0.0202,0.0622,0.075462449236186,1.55410702453217,7,6,1,0,1,1,0.3607,NA,NA,NA
"combine","Chenopodium watsonii","GRIN-Ames-28061","GRIN","GRIN","Chenopodium watsonii","CHEWAT","CHEWAT","Chenopodiaceae","forb","native","no appendage","none","human","animal",NA,NA,NA,0.547331278890601,0.0354083204930663,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,0,0.1836,NA,NA,NA
"combine","Chenopodium watsonii","GRIN-PI-666330","GRIN","GRIN","Chenopodium watsonii","CHEWAT","CHEWAT","Chenopodiaceae","forb","native","no appendage","none","human","animal",4.3548,4.3548,218.79326398,NA,NA,27.5,0.000800003,1.1078643,1.0413923,14.0013274419477,2.65602298680104,0.0356,0.0126,0.0482,0.0462841908856057,1.28449878266397,7,6,0,0,1,0,0.2097,NA,NA,NA
"keep","Chorizanthe brevicornu","SD-2","SD","SD","Chorizanthe brevicornu","CHOBRE","CHOBRE","Polygonaceae","forb","native","elongated appendage","hooks","adhesive","adhesive",13.32,4.8096,207.317068,0.649337274424393,0.0332451773490977,15,0.047679434,5.118333,2.7475034,87.226829233825,0.954336380549867,0.0326,0.059,0.0916,0.0333393581969726,0.765625889853289,6,6,0,1,1,1,0.1157,NA,NA,NA
"discard","Chorizanthe brevicornu var. brevicornu","CBG-19949","CBG","CBG","Chorizanthe brevicornu","CHOBREB","CHOBRE","Polygonaceae","forb","native","elongated appendage","hooks","adhesive","adhesive",24.94,5.3442,233.2760165,0.454228290886775,0.0291960724148512,17.5,0.104389351,5.7608942,1.8124659,84.1678920095182,0.965114697212825,0.0296,0.0766,0.1062,0.0585942058275414,1.15652107701698,6,6,0,1,1,1,0.0374,NA,NA,NA
"combine","Chorizanthe fimbriata","CBG-19183","CBG","CBG","Chorizanthe fimbriata","CHOFIM","CHOFIM","Polygonaceae","forb","native","elongated appendage","hooks","adhesive","adhesive",NA,6.21983333333333,NA,0.457781466113416,0.0244813278008299,11.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,1,0.2701,NA,NA,NA
"combine","Chorizanthe fimbriata","CBG-21158","CBG","CBG","Chorizanthe fimbriata","CHOFIM","CHOFIM","Polygonaceae","forb","native","elongated appendage","hooks","adhesive","adhesive",14.3022,NA,157.59496014,NA,NA,11.43,0.04827659,5.6855595,3.035548,126.128466115058,0.90254282098111,0.0146,0.0608,0.0754,0.0248390076519956,0.658903368302667,6,6,0,1,1,1,0.1606,NA,NA,NA
"combine","Chorizanthe staticoides","CBG-24537","CBG/SS","CBG","Chorizanthe staticoides","CHOSTA","CHOSTA","Polygonaceae","forb","native","elongated appendage","hooks","human","adhesive",NA,5.1985,NA,0.480377797151991,0.0256873002034292,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,1,0.2398,NA,NA,NA
"combine","Chorizanthe staticoides","SS-11","CBG/SS","SS","Chorizanthe staticoides","CHOSTA","CHOSTA","Polygonaceae","forb","native","elongated appendage","hooks","human","adhesive",7.9827,NA,181.78543198,NA,NA,32.5,0.054386673,3.7711704,1.9055269,132.515118851871,0.952600196268633,0.0274,0.0408,0.0682,0.0357906256794381,0.67105176484252,7,6,0,1,1,1,0.2358,NA,NA,NA
"keep","Chylismia brevipes","CBG-23447","CBG","CBG","Chylismia brevipes","CHYBRE","CHYBRE","Onagraceae","forb","native","no appendage","none","unassisted","unassisted",5.817,5.817,187.94837978,0.506208695652174,0.0264434782608696,39,0.029286672,1.9897242,1.2673967,123.390245337153,1,0.007,0,0.007,0.00552313257561741,0.852268032186517,2,2,1,NA,NA,0,0.1226,NA,NA,NA
"keep","Chylismia cardiophylla","CBG-23231","CBG","CBG","Chylismia cardiophylla","CHYCAR","CHYCAR","Onagraceae","forb","native","no appendage","none","unassisted","unassisted",0.3307,0.3307,110.176559686,0.540894399554193,0.0325215937587072,100,0.029714615,0.59381527,0.37667385,172.498801998182,1,0.0058,0,0.0058,0.0153979364375839,0.528229734283352,2,2,0,NA,NA,0,0.0405,NA,NA,NA
"combine","Chylismia claviformis","DW-06","DW/CBG","DW","Chylismia claviformis","CHYCLA","CHYCLA","Onagraceae","forb","native","no appendage","none","unassisted","unassisted",0.8481,0.8481,129.84109112,0.516790407358738,0.0450164257555848,36.5,0.027222219,0.79766228,0.5184805,94.045199581757,1,0.116,0,0.116,0.223730689968089,0.757136959925038,2,2,0,NA,NA,0,0.0652,NA,NA,NA
"combine","Chylismia claviformis ssp. claviformis","CBG-19901","DW/CBG","CBG","Chylismia claviformis","CHYCLAC","CHYCLA","Onagraceae","forb","native","no appendage","none","unassisted","unassisted",0.9677,0.9677,128.56928564,0.527017898383372,0.0321333718244804,36.5,0.025892716,0.92174312,0.60710962,78.2340480027019,1,0.0114,0,0.0114,0.0187774985347786,0.653199722838657,2,2,0,NA,NA,0,0.0273,NA,NA,NA
"combine","Chylismia claviformis ssp. funerea","CBG-19900","DW/CBG","CBG","Chylismia claviformis","CHYCLAF","CHYCLA","Onagraceae","forb","native","no appendage","none","unassisted","unassisted",0.7891,0.7891,165.61662968,0.542771768523526,0.0358599242833964,37,0.021099991,0.76221062,0.52734341,81.7019049565497,1,0.0082,0,0.0082,0.0155496396551158,0.737026512069993,2,2,0,NA,NA,0,0.0195,NA,NA,NA
"keep","Clarkia dudleyana","CBG-21170","CBG","CBG","Clarkia dudleyana","CLADUD","CLADUD","Onagraceae","forb","native","no appendage","none","unassisted","unassisted",2.4543,2.4543,208.55319282,0.555700852189245,0.0553599764913312,70,0.020048856,1.2097876,0.8464083,38.0918403756839,1,0.0176,0,0.0176,0.0207937469422263,0.838105431375321,2,2,0,NA,NA,1,0.1812,NA,NA,NA
"keep","Clarkia epilobioides","CBG-21078","CBG","CBG","Clarkia epilobioides","CLAEPI","CLAEPI","Onagraceae","forb","native","no appendage","none","unassisted","unassisted",0.6723,0.6723,147.09769078,0.489493545183714,0.043796756041046,45.72,0.038181481,0.8552712,0.50075467,38.6006733470737,1,0.0196,0,0.0196,0.03914092303922,0.531269026669626,2,2,0,NA,NA,1,0.1606,NA,NA,NA
"keep","Clarkia gracilis","MCL-EE-13","MCL","MCL-EE","Clarkia gracilis","CLAGRA","CLAGRA","Onagraceae","forb","native","no appendage","none","unassisted","unassisted",3.8749,3.8749,164.23303477,0.517165648336728,0.0639850644942295,42.2166666666667,0.087029716,2.0606276,0.77107354,58.2653100512299,1,0.0142,0,0.0142,0.0184158828741549,0.888981452408807,2,2,0,NA,NA,1,0.5647,NA,NA,NA
"combine","Clarkia purpurea","MCL-EE-14","MCL","MCL-EE","Clarkia purpurea","CLAPUR","CLAPUR","Onagraceae","forb","native","no appendage","none","ant","ant",NA,NA,NA,0.538604395604396,0.0565457875457875,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,1,0.5527,NA,NA,NA
"combine","Clarkia purpurea","MCL-ML-14","MCL","MCL-ML","Clarkia purpurea","CLAPUR","CLAPUR","Onagraceae","forb","native","no appendage","none","ant","ant",4.5448,4.5448,198.2506768,NA,NA,25.9,0.027965908,1.5864617,1.0236666,54.3196611438564,1,0.0186,0,0.0186,0.0181699783894483,1.02621090968052,3,3,0,NA,NA,1,0.5647,NA,NA,NA
"keep","Clarkia unguiculata","CBG-21169","CBG","CBG","Clarkia unguiculata","CLAUNG","CLAUNG","Onagraceae","forb","native","no appendage","none","unassisted","unassisted",3.202,3.202,189.12953464,0.547532276995305,0.0532012910798122,100,0.023246333,1.34273156,0.90844871,40.2918415429947,1,0.012,0,0.012,0.0132093313226236,0.881938491329024,2,2,0,NA,NA,1,0.1812,NA,NA,NA
"combine","Claytonia parviflora ssp. parviflora","CBG-21666","CBG","CBG","Claytonia parviflora","CLAPARP","CLAPAR","Montiaceae","forb","native","nutrient-containing appendage","elaiosome","ant","ant",4.1254,4.1254,195.2199674,0.456943629846856,0.024594330400782,30.48,0.041473275,1.26296535,0.63369839,45.1790995195974,2.33278053390042,0.0184,0,0.0184,0.0290358951361704,1.36429621010392,3,3,0,0,0,0,0.3429,NA,NA,NA
"combine","Claytonia parviflora ssp. viridis","CBG-21667","CBG","CBG","Claytonia parviflora","CLAPARV","CLAPAR","Montiaceae","forb","native","nutrient-containing appendage","elaiosome","ant","ant",4.4949,4.4949,204.53449334,0.458108197809492,0.0177132426153336,15.5,0.045855379,1.2097878,0.58052089,29.5117605730336,2.38128447030003,0.0252,0,0.0252,0.0434092905769506,1.6531131785297,3,3,0,0,1,0,0.3429,NA,NA,NA
"keep","Claytonia perfoliata","CBG-21086","CBG","CBG","Claytonia perfoliata","CLAPER","CLAPER","Montiaceae","forb","native","nutrient-containing appendage","elaiosome","animal","animal",3.7146,3.7146,193.08515824,0.446760151913526,0.0289599766286883,15.1836842,0.033973783,1.3648888,0.74891625,31.0880090547245,2.41360264242865,0.0148,0,0.0148,0.0197618892633188,1.02534422027739,6,6,0,0,1,0,0.1272,NA,NA,NA
"keep","Collinsia concolor","CBG-21075","CBG","CBG","Collinsia concolor","COLCON","COLCON","Plantaginaceae","forb","native","no appendage","none","unassisted","unassisted",5.2036,5.2036,221.02510478,0.481844630145466,0.0172268647477561,27.5,0.03213553,1.33830003,0.75334769,88.1079575431145,0.805737043263217,0.029,0,0.029,0.0384948416049434,1.39756656255875,1,1,0,0,0,1,0.1606,NA,NA,NA
"combine","Collinsia heterophylla","CBG-20790","CBG/SS","CBG","Collinsia heterophylla","COLHET","COLHET","Plantaginaceae","forb","native","no appendage","none","ballistic","ballistic",6.0912,6.0912,237.05714716,NA,NA,38.4,0.035953481,1.4468707,0.77550499,95.3121408710489,0.829739750244162,0.1336,0,0.1336,0.172274842486829,1.47114942939487,2,2,0,1,0,1,0.1985,0.09,0.15,0.76
"combine","Collinsia heterophylla","SS-15","CBG/SS","SS","Collinsia heterophylla","COLHET","COLHET","Plantaginaceae","forb","native","no appendage","none","ballistic","ballistic",NA,NA,NA,0.451751363766868,0.0257967269595177,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,0.2358,0.09,0.15,0.76
