ID,use.,dispersule,seeds.per.disp,morphological.unit,chemical.unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,type,mega.comp,microbe.rob,notes,AI
MCL-EE-47,,,,,,Sidalcea diploscypha,,SIDDIP,SIDI,Malvaceae,forb,native,2019,NA,NA,NA,NA,NA,38.86556193,-122.402132,NA,,,MCL-EE,wild,,,have another acc,0.5527
MCL-ML-30,both,,1,mericarp,mericarp,Sidalcea diploscypha,,SIDDIP,SIDI,Malvaceae,forb,native,2021,NA,NA,NA,1.0252,216,38.86023696,-122.4118546,646,,,MCL-ML,wild,,,,0.5445
MCL-EE-48,both,,1,seed,seed,Silene gallica,,SILGAL,SIGA,Caryophyllaceae,forb,invasive,2019,NA,NA,NA,0.053,NA,38.87274024,-122.4271505,667,,,MCL-EE,wild,,,,0.5647
MD-9,both,,1,seed,seed,Sisymbrium altissimum,,SISALT,SIAL2,Brassicaceae,forb,invasive,2021,NA,NA,NA,0.1543,NA,33.97741778,-116.1647915,1321,JOTR Juniper Flat,,MD,wild,,,,0.1233
MD-10,both,,1,seed,seed,Sisymbrium irio,,SISIRI,SIIR,Brassicaceae,forb,invasive,2021,NA,NA,NA,0.2,NA,33.99061279,-116.6578569,681,Whitewater preserve and palm springs,,MD,wild,,,,0.0923
MD-11,both,,1,seed,seed,Sisymbrium orientale,,SISORI,SIOR4,Brassicaceae,forb,invasive,2021,NA,NA,NA,0.1342,NA,33.99762703,-116.6056899,613,Mission creek,,MD,wild,,,,0.075
CBG-19518,both,,1,seed,seed,Spergularia platensis,,SPEPLA,SPPL2,Caryophyllaceae,forb,invasive,1996,NA,NA,NA,0.021000413,600,33.87694,-117.11527,435,,19518,CBG,wild,,,,0.1386
CBG-23446,both,,1,achene,achene,Stephanomeria exigua,,STEEXI,STEX,Asteraceae,forb,native,2011,28,NA,NA,0.161752002,337,34.2271,-115.72292,671,,23446,CBG,wild,,,,0.0439
DW-21,,,,,,Stephanomeria exigua,,STEEXI,STEX,Asteraceae,forb,native,2015,NA,NA,NA,NA,NA,33.285516,-116.348755,NA,,,DW,wild,,,,0.0581
MD-12,both,y,1,floret,caryopsis,Stipa capensis,Achnatherum capense,STICAP,ACCA34,Poaceae,grass,invasive,2021,NA,NA,NA,0.17,NA,33.85230388,-116.5606831,238,palm springs raquet club,,MD,wild,,,,0.0641
DW-22,both,,1,seed,seed,Streptanthella longirostris,,STRLON,STLO4,Brassicaceae,forb,native,2015,NA,NA,NA,0.22,NA,33.301555,-116.337843,189,,,DW,wild,,,,0.0583
CBG-22705,both,,1,seed,seed,Streptanthus insignis,,STRINS,STIN,Brassicaceae,forb,native,2008,4.2,NA,NA,0.271345646,600,36.584,-120.81637,389,,22705,CBG,wild,,,,0.1131
