"Species","new.code","family","group","nat.inv","appendage.type","appendage","disp.cat.all","disp.cat.nat","site","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"Boerhavia erecta","BOEERE","Nyctaginaceae","forb","native","no appendage","none","adhesive","adhesive","GRIN",38.9,38.9,240.10837566,0.387755102040816,0.0164795918367347,35,0.072226415,3.8243475,448.310278806257,2.17989723584696,0.0136,0.0884,0.102,0.06204112755005,2.20646109437339,6,6,1,0,1,0,0.1915,NA,NA,NA
"Boerhavia triquetra var. intermedia","BOETRI","Nyctaginaceae","forb","native","no appendage","none","adhesive","adhesive","CBG",24.02,24.02,249.61193388,0.431299035369775,0.0178906752411576,35,0.060696133,2.840564,870.42125759897,2.19921161721839,0.0134,0.0836,0.097,0.0715325570108949,2.10670079954645,6,6,1,0,1,1,0.028,NA,NA,NA
"Bouteloua barbata","BOUBAR","Poaceae","grass","native","elongated appendage","awn","adhesive","adhesive","CBG",1.3982,1.2306,118.225341258,0.436538583677358,0.035261987932677,16.5,0.043688941,2.8184068,46.098062336901,0.802768739085098,0,0,0.0066,0.00420720939752889,0.201082746168455,6,6,0,1,1,1,0.0277,NA,NA,NA
"Brassica nigra","BRANIG","Brassicaceae","forb","invasive","no appendage","none","human","wind","MCL",11.1442,11.1442,250.53970992,0.537833433916717,0.0466173808086904,111.864150266667,0.002478588,1.3427317,55.9397227898735,1,0.0264,0,0.0264,0.0219830602201787,2.32652859036877,7,5,0,1,0,0,0.4461,0.31,0.33,0.36
"Brassica tournefortii","BRATOU","Brassicaceae","forb","invasive","no appendage","none","human","unassisted","MD",17.1,17.1,247.02321438,0.502622031662269,0.0371108179419525,56.6833333,5.01e-05,1.4756752,706.274571996199,1,0.0292,0,0.0292,0.0200891905019408,2.64896919778617,7,2,1,1,0,0,0.0923,0.29,0.26,0.45
"Bromus diandrus","BRODIA","Poaceae","grass","invasive","elongated appendage","awn","adhesive","adhesive","SAC",134.67,98.11,264.13438706,0.424423756019262,0.0138523274478331,51.1051471666667,0.191732042,71.4904825,91.7027229779358,0.167432633752426,0,0,0.0294,0.00546040044236673,0.707002988763656,6,6,0,0,1,1,0.2554,NA,NA,NA
"Bromus hordeaceus","BROHOR","Poaceae","grass","invasive","elongated appendage","awn","human","adhesive","MCL/SFREC",22.14,15.9831,192.8669341,0.403233106013639,0.0187755734655921,35.847083325,0.16111001,14.05215,188.983910247907,0.160787258517224,0,0,0.0206,0.00986960479371496,0.414180864365158,7,6,0,0,1,1,0.5186,NA,NA,NA
"Bromus madritensis","BROMAD","Poaceae","grass","invasive","elongated appendage","awn","human","adhesive","MCL/SFREC",26.31,21.38,157.45490956,0.421442768985568,0.0278762429675667,22.56371428,0.186234022,31.968532,165.537886824649,0.211347835075268,0,0,0.0238,0.00907211857792635,0.408813109416661,7,6,0,0,1,1,0.5126,NA,NA,NA
"Bromus rubens","BRORUB","Poaceae","grass","invasive","elongated appendage","awn","adhesive","adhesive","MD",25.57,19.5,233.2743141,0.414824644549763,0.0239210110584518,31.7965,0.174692249,30.098456,151.325200081602,0.188980760522758,0,0,0.0124,0.00363399589088845,0.349611721796028,6,6,0,0,1,1,0.0909,0.02,0.18,0.8
"Bromus tectorum","BROTEC","Poaceae","grass","invasive","elongated appendage","awn","human","adhesive","MD",32.49,27.31,174.01834408,0.416317073170732,0.0198834688346883,29.89334547,0.180333313,23.25407,114.802397724722,0.215272697406205,0,0,0.0152,0.00684635310759796,0.624146044687966,7,6,0,0,1,1,0.0909,0.01,0.14,0.85
