Species,new.code,family,group,nat.inv,FunGroup,appendage.type,appendage,disp.cat.all,disp.cat.nat,site,new.mass,morph.mass.mg,chem.mass.mg,set.time.mpsec,prop.C,prop.N,height.cm,shape,size.mm,coat.perm.perc,coat.thick,fruit.thick,both.thick,coat.thick.per.width,wing.loading,ldd.all,ldd.natural
Microsteris gracilis,MICGRA,Polemoniaceae,forb,native,native forb,no appendage,none,unknown,unknown,MCL/CBG,8.87675,8.87675,8.87675,165.9093775,0.470654652,0.029599117,7.25,0.076516062,2.24010175,382.253205,0.0426,0,0.0426,0.058976018,1.249235481,2,2
Navarretia pubescens,NAVPUB,Polemoniaceae,forb,native,native forb,no appendage,none,ballistic,ballistic,MCL,7.1503,7.1503,7.1503,186.5269222,0.523120923,0.044922228,11.3,0.070278317,2.0251759,66.40871862,0.0228,0,0.0228,0.025725173,1.375656526,1,1
Plagiobothrys nothofulvus,PLANOT,Boraginaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,SFREC,38.49,38.49,38.49,288.2228627,0.407961766,0.032853528,18.03333333,0.039249021,3.0311166,34.42579708,0.0348,0.081,0.1158,0.074026518,2.529090155,1,1
Plantago erecta,PLAERE,Plantaginaceae,forb,native,native forb,no appendage,none,ant,ant,MCL,19.65,19.65,19.65,228.5702099,0.444843962,0.027299864,6.426666667,0.06830008,2.46167445,1440.39128,0.0142,0,0.0142,0.015331884,2.313894741,3,3
Rigiopappus leptocladus,RIGLEP,Asteraceae,forb,native,native forb,elongated appendage,pappus,wind,wind,MCL,6.395,6.395,6.395,201.6088378,0.472940814,0.031596794,11.35,0.16315934,5.056784889,84.35109147,0.0096,0.0278,0.0374,0.051671399,0.316937842,5,5
Senecio vulgaris,SENVUL,Asteraceae,forb,non-native,non-native forb,elongated appendage,plume,human,animal,SAC,2.5964,2.6665,2.5964,148.0811331,0.505591094,0.032000627,27.71091345,0.136812813,2.9424875,918.9753582,0.00988,0.02128,0.03116,0.049171659,0.555035963,7,6
Sidalcea diploscypha,SIDDIP,Malvaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,49.7,49.7,49.7,252.797745,0.436444175,0.027430218,18.8,0.011907247,2.8472112,418.7758679,0.132,0,0.132,0.061543468,2.717000785,1,1
Trifolium albopurpureum,TRIALB,Fabaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,22.6,22.6,22.6,223.610819,0.457014295,0.049922027,15.46428572,0.049395339,2.34202515,64.85465377,0.043,0,0.043,0.037177602,2.509028172,1,1
Trifolium fucatum,TRIFUC,Fabaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,51.1,51.1,51.1,225.6863751,0.416624788,0.026651952,24.7,0.033546111,2.6500114,51.6451518,0.0384,0,0.0384,0.024829002,3.131013798,1,1
Trifolium hirtum,TRIHIR,Fabaceae,forb,non-native,non-native forb,no appendage,none,human,animal,MCL/SFREC,30.48,52.12,30.48,247.1874285,0.415070198,0.032227186,15.27475963,0.014113514,2.06949055,6.658038559,0.0372,0,0.0372,0.025284732,0.782540283,7,6
Vicia villosa,VICVIL,Fabaceae,forb,non-native,non-native forb,no appendage,none,ballistic,ballistic,MCL,350.77,350.77,350.77,335.1216274,0.392607868,0.028201142,56.35557693,0.007833353,4.0968822,14.51639221,0.1116,0,0.1116,0.034545392,7.831723958,2,2
Brassica nigra,BRANIG,Brassicaceae,forb,non-native,non-native forb,no appendage,none,human,wind,MCL,11.1442,11.1442,11.1442,250.5397099,0.537833434,0.046617381,111.8641503,0.002478588,1.3427317,55.93972279,0.0264,0,0.0264,0.02198306,2.32652859,7,5
Calandrinia menziesii,CALMEN,Montiaceae,forb,native,native forb,no appendage,none,human,animal,MCL,3.3303,3.3303,3.3303,155.1043707,0.478072449,0.032562313,8.44845238,0.031736611,1.56430445,66.17515462,0.0136,0,0.0136,0.01542195,0.702219948,7,6
Erythranthe guttata,ERYGUT,Phrymaceae,forb,native,native forb,no appendage,none,animal,animal,MCL,0.2238,0.2238,0.2238,98.88531096,0.552800949,0.045035605,11.6,0.037073778,0.62926691,41.26515963,0.0078,0,0.0078,0.020954089,0.317979408,6,6
Festuca microstachys,FESMIC,Poaceae,grass,native,native grass,elongated appendage,awn,adhesive,adhesive,MCL,14.41,14.41,10.4777,167.2826448,0.443214971,0.026970569,18.09462366,0.187196949,15.937735,64.93949693,0,0,0.021,0.01966327,0.606346549,6,6
Gilia capitata,GILCAP,Polemoniaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,9.0258,9.0258,9.0258,229.2686526,0.483361619,0.025489556,24.8,0.032523824,1.8301919,632.1962982,0.0092,0,0.0092,0.008141437,1.522301623,1,1
Gilia tricolor,GILTRI,Polemoniaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,3.975,3.975,3.975,209.5793946,0.448650155,0.0284613,12.325,0.02884708,1.20535634,1182.450393,0.0098,0,0.0098,0.012709553,1.490103263,1,1
Lagophylla minor,LAGMIN,Asteraceae,forb,native,native forb,no appendage,none,unknown,unknown,MCL,3.4951,3.4951,3.4951,110.0434501,0.512894737,0.049085366,12.35,0.110842764,2.38190825,81.5558438,0,0.0326,0.0326,0.055312006,0.78883998,2,2
Linanthus dichotomus,LINDIC,Polemoniaceae,forb,native,native forb,no appendage,none,unknown,unknown,MCL/CBG,0.6679,0.6679,0.6679,124.0808595,0.535685295,0.031061505,8.26,0.024440044,0.86856557,324.5822433,0.0092,0,0.0092,0.015847836,0.482287548,2,2
Logfia filaginoides,LOGFIL,Asteraceae,forb,native,native forb,elongated appendage,pappus,wind,wind,MCL,0.3325,0.3325,0.3325,114.1951578,0.50366719,0.051309262,13.825,0.060369347,0.7311904,30.12252479,0,0.0064,0.0064,0.018281269,0.447926479,5,5
Micropus californicus,MICCAL,Asteraceae,forb,native,native forb,elongated appendage,pappus,wind,wind,MCL/SFREC/CBG,0.6622,8.4658,0.6622,92.84292709,0.438681898,0.019803163,17.5,0.004977853,3.9971742,31.73471771,0,0.0292,0.0292,0.008590945,0.221075352,5,5
Minuartia douglasii,MINDOU,Caryophyllaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL/CBG,2.5506,2.5506,2.5506,122.8000637,0.424280947,0.018279733,8.85,0.05803167,1.49118525,62.33270724,0.0098,0,0.0098,0.014360145,0.565491525,1,1
Silene gallica,SILGAL,Caryophyllaceae,forb,non-native,non-native forb,no appendage,none,human,adhesive,MCL,2.6986,2.6986,2.6986,195.8948624,0.467606218,0.028594128,32.344375,0.015012493,0.999293615,20.35946752,0.0234,0,0.0234,0.033002688,1.157111568,7,6
Thysanocarpus curvipes,THYCUR,Brassicaceae,forb,native,native forb,flat appendage,wing,wind,wind,MCL/CBG,6.2866,13.59,6.2866,106.7402654,0.445615006,0.012266298,36.6,0.109505502,5.65453925,106.8403563,0.01,0.0192,0.0292,0.02098489,0.272241467,5,5
Trifolium willdenovii,TRIWIL,Fabaceae,forb,native,native forb,no appendage,none,unassisted,unassisted,MCL,20.01,20.01,20.01,274.7818349,0.412323379,0.040863074,24.65,0.029070834,1.9010952,78.41448764,0.026,0,0.026,0.023008414,2.789358362,1,1
Uropappus lindleyi,UROLIN,Asteraceae,forb,native,native forb,elongated appendage,pappus,wind,wind,MCL,16.44,17.4,16.44,194.3635161,0.443190267,0.021710037,18.89492754,0.195065582,10.7462828,100.4979094,0,0.06,0.06,0.088493882,0.227345112,5,5
Zeltnera trichantha,ZELTRI,Gentianaceae,forb,native,native forb,no appendage,none,wind,wind,MCL,0.2842,0.2842,0.2842,144.984515,0.542019231,0.047121212,6.825,0.015437114,0.57165798,417.2624353,0.0072,0,0.0072,0.017102609,0.39933999,5,5
